cbsa_code,year,cbsa_title,net_migration,job_growth,income_growth,permits_to_stock,rent_to_income,cost_to_own_vs_rent,trailing_rent_growth,employment_diversity
10420,2024,"Akron, OH",0.0005126678809300365,-0.0022994427306824994,0.04710735658087173,0.003986591122527038,0.20935938537591262,1.251890620250755,0.05659281464415722,0.8927842925934294
10580,2024,"Albany-Schenectady-Troy, NY",0.0011822854234059673,0.019910339945913513,0.05073859136456904,0.005551462479528102,0.2436791306876,1.4110171621969658,0.04863571511465592,0.8872896890921103
10740,2024,"Albuquerque, NM",-0.001481849494418331,0.014987102191873047,0.05628157915019538,0.00704625637005096,0.2864676157209902,1.5183300275467968,0.03380869615262361,0.8249305010149892
10900,2024,"Allentown-Bethlehem-Easton, PA-NJ",0.0014146824635781314,0.006415675054728398,0.03594454488297161,0.006802981814000728,0.30731508585140643,1.2804922704578716,0.03594028822184803,0.8370741473756853
12060,2024,"Atlanta-Sandy Springs-Roswell, GA",-0.00020720709334788777,0.012288782154783906,0.04952811145714642,0.015811245892911618,0.3012782478502604,1.4373297783476735,0.0024494605971541183,0.5851573067422524
12260,2024,"Augusta-Richmond County, GA-SC",0.004820484467327827,0.004767953782170542,0.0413900824565796,0.016654688734665565,0.30997194544550477,1.133712473760128,0.03198978727095603,0.7867271927275719
12420,2024,"Austin-Round Rock-San Marcos, TX",0.0054809837699366865,0.011637844802061315,0.04801843620886315,0.028645202722420764,0.2428226224461213,1.780300506264673,-0.0382043327726983,0.9019375321499761
12540,2024,"Bakersfield-Delano, CA",-0.002334885949384789,0.012644069870064056,0.06718845131233442,0.010393105436837215,0.4018244055517145,1.3628621598540425,0.03996484742443562,0.8878303551857969
12580,2024,"Baltimore-Columbia-Towson, MD",-0.002947509359837483,0.02211688576147708,0.05052336061751994,0.005184339400979447,0.270376406036264,1.3941018551277824,0.032005769172522625,0.883321610763621
12940,2024,"Baton Rouge, LA",-0.0022794940701431595,0.025859567861960198,0.05179228981035444,0.009723794170322245,0.24434107960736756,1.1819149319209241,0.023155383635829807,0.0
13820,2024,"Birmingham, AL",0.0018489279152897535,0.010047546249444483,0.044370249054299205,0.0070181880859418915,0.24092460571966268,1.1962869049777913,0.0362801093137195,0.8406831813294775
14260,2024,"Boise City, ID",0.012674871209817048,0.025536261491317713,0.06139748682314394,0.026655882352941175,0.30722575089795257,1.8423078232822119,0.01893222933509242,0.8377088493560416
14460,2024,"Boston-Cambridge-Newton, MA-NH",-0.004524111648612471,0.0016645925520486493,0.04074225671749332,0.00539691979269295,0.3528213557145892,1.5090898350713438,0.04206405669949809,0.8995715443319706
14860,2024,"Bridgeport-Stamford-Danbury, CT",-0.006162361889174127,-0.031213458382857495,,0.005019835175077253,0.22031398618112724,1.5468046397805228,0.054015496187094225,0.9005525202380351
15380,2024,"Buffalo-Cheektowaga, NY",-0.0021384760190730338,0.012048946001398164,0.04322095710381224,0.0025276014073684636,0.25504582989239527,1.2740939129427518,0.0499332599843163,0.9064781840790951
15980,2024,"Cape Coral-Fort Myers, FL",0.005807477475698611,0.019453490114861083,0.043830869826499974,0.03312968106420851,0.33995131635809805,1.2829762541722871,-0.02586529114154479,0.8932752213400657
16700,2024,"Charleston-North Charleston, SC",0.012591672988941767,0.02478907564138222,0.05349815962186044,0.02155333907143942,0.31573478005961875,1.4583938868558823,0.038700925220015225,0.9050103959372213
