qa,year,rho,n
R_rent_ytd,2016,0.9439919212704945,108
R_rent_ytd,2017,0.9557559227283997,110
R_rent_ytd,2018,0.9779455852850348,110
R_rent_ytd,2019,0.9728332168699141,110
R_rent_ytd,2020,0.8743727881342561,110
R_rent_ytd,2021,0.8807114036471834,110
R_rent_ytd,2022,0.8861483668823117,110
R_rent_ytd,2023,0.9179316096747289,110
R_rent_ytd,2024,0.9647093298469446,110
R_rent_ytd,2025,0.962274868696887,110
J_jobs_ytd,2016,0.9297559529149612,109
J_jobs_ytd,2017,0.929820822087741,109
J_jobs_ytd,2018,0.9278747469043488,109
J_jobs_ytd,2019,0.8768041738773292,109
J_jobs_ytd,2020,0.9026082041066409,109
J_jobs_ytd,2021,0.5961893994568653,109
J_jobs_ytd,2022,0.8864279790104376,109
J_jobs_ytd,2023,0.8575519300987713,109
J_jobs_ytd,2024,0.7801213053614712,109
P_permits_ytd,2015,0.9291891264031418,156
P_permits_ytd,2016,0.9263379861444017,157
P_permits_ytd,2017,0.9137193923184265,161
P_permits_ytd,2018,0.9245430979430098,163
P_permits_ytd,2019,0.926352661133483,164
P_permits_ytd,2020,0.9260107445950693,165
P_permits_ytd,2021,0.9246017587683989,166
P_permits_ytd,2022,0.9830722957163073,382
P_permits_ytd,2023,0.9807113650528004,387
P_permits_ytd,2024,0.9825656134255192,387
P_permits_ytd,2025,0.980087879955674,387
I_state_chain_stale,2016,0.5066646370627399,110
I_flat_carry_T2,2016,,0
I_state_chain_stale,2017,-0.05478456149243253,110
I_flat_carry_T2,2017,,0
I_state_chain_stale,2018,-0.001973038847222105,110
I_flat_carry_T2,2018,0.16296914095079235,110
I_state_chain_stale,2019,0.19502382838846408,110
I_flat_carry_T2,2019,0.144945111917589,110
I_state_chain_stale,2020,0.2051824952219875,110
I_flat_carry_T2,2020,-0.2739715528706354,110
I_state_chain_stale,2021,0.020538566855865793,110
I_flat_carry_T2,2021,0.1283817595744201,110
I_state_chain_stale,2022,0.2685409715219138,110
I_flat_carry_T2,2022,-0.5179225931519509,110
I_state_chain_stale,2023,0.17313980254753603,110
I_flat_carry_T2,2023,0.2045533440028853,110
I_state_chain_stale,2024,-0.11319565893951214,110
I_flat_carry_T2,2024,-0.1506629458208422,110
M_pep_stale,2013,0.8047967481337542,382
M_pep_stale,2014,0.8300614240161813,382
M_pep_stale,2015,0.9122792854684818,382
M_pep_stale,2016,0.8825011203744773,382
M_pep_stale,2017,0.8878948482471822,382
M_pep_stale,2018,0.915659872771204,382
M_pep_stale,2019,0.8992840799607051,382
M_pep_stale,2020,0.9130387000803031,382
M_pep_stale,2021,0.7727790709252447,382
M_pep_stale,2022,0.726262096170448,387
M_pep_stale,2023,0.8574898689449734,387
M_pep_stale,2024,0.8561441533098528,387
